file;size;nnodes;time
bird.png;256x256;5082;314
boat.png;512x512;38628;515
mountain.png;640x480;46405;645
goldhill.png;512x512;43000;462
house.png;256x256;9851;114
mandrill.png;512x512;60239;467
zelda.png;512x512;24674;461
naturel.png;1600x1200;129684;3261
camera.png;256x256;10885;114
piscine.png;3072x2304;1034825;13504
sat.png;1297x1381;249604;3342
lena.png;512x512;31643;448
washsat.png;512x512;17186;421
frog.png;621x498;30237;509
barb.png;512x512;40496;448
bridge.png;256x256;14330;119
peppers.png;512x512;34122;461
