file;size;nnodes;time
bird.png;256x256;5082;292
boat.png;512x512;38628;509
mountain.png;640x480;46405;530
goldhill.png;512x512;43000;484
house.png;256x256;9851;125
mandrill.png;512x512;60239;472
zelda.png;512x512;24674;459
naturel.png;1600x1200;129684;3315
camera.png;256x256;10885;115
piscine.png;3072x2304;1034825;13596
sat.png;1297x1381;249604;3375
lena.png;512x512;31643;465
washsat.png;512x512;17186;423
frog.png;621x498;30237;515
barb.png;512x512;40496;470
bridge.png;256x256;14330;128
peppers.png;512x512;34122;451
