file;size;nnodes;time
bird.png;256x256;5082;247
boat.png;512x512;38628;513
mountain.png;640x480;46405;520
goldhill.png;512x512;43000;463
house.png;256x256;9851;122
mandrill.png;512x512;60239;459
zelda.png;512x512;24674;445
naturel.png;1600x1200;129684;3176
camera.png;256x256;10885;111
piscine.png;3072x2304;1034825;13025
sat.png;1297x1381;249604;3188
lena.png;512x512;31643;437
washsat.png;512x512;17186;407
frog.png;621x498;30237;506
barb.png;512x512;40496;454
bridge.png;256x256;14330;117
peppers.png;512x512;34122;436
