;node-id;type;area;perimeter
0;0;rectangle;1440000.0;4800.0
1;6;circle;11309.733552923255;376.99111843077515
2;4;circle;45238.93421169302;753.9822368615503
3;2;circle;125663.70614359173;1256.6370614359173
4;1;ellipse;188495.5592153876;1586.5439589251232
5;3;ellipse;94247.7796076938;1105.1746080353828
6;5;ellipse;30159.289474462013;634.6175835700493
