file;size;nnodes;time
bird.png;256x256;5082;840
boat.png;512x512;38628;5456
mountain.png;640x480;46405;2719
goldhill.png;512x512;43000;4151
house.png;256x256;9851;1192
mandrill.png;512x512;60239;7052
zelda.png;512x512;24674;3311
naturel.png;1600x1200;129684;26867
camera.png;256x256;10885;1225
piscine.png;3072x2304;1034825;162186
sat.png;1297x1381;249604;25221
lena.png;512x512;31643;3589
washsat.png;512x512;17186;238
frog.png;621x498;30237;1929
barb.png;512x512;40496;4782
bridge.png;256x256;14330;1572
peppers.png;512x512;34122;4411
