file;size;nnodes;time
bird.png;256x256;5082;624
boat.png;512x512;38628;4372
mountain.png;640x480;46405;2329
goldhill.png;512x512;43000;3659
house.png;256x256;9851;972
mandrill.png;512x512;60239;6419
zelda.png;512x512;24674;2773
naturel.png;1600x1200;129684;21587
camera.png;256x256;10885;1066
piscine.png;3072x2304;1034825;152537
sat.png;1297x1381;249604;21959
lena.png;512x512;31643;3144
washsat.png;512x512;17186;183
frog.png;621x498;30237;1406
barb.png;512x512;40496;4045
bridge.png;256x256;14330;1285
peppers.png;512x512;34122;3736
