file;size;nnodes;time
bird.png;256x256;5082;907
boat.png;512x512;38628;5520
mountain.png;640x480;46405;3497
goldhill.png;512x512;43000;4817
house.png;256x256;9851;1157
mandrill.png;512x512;60239;6929
zelda.png;512x512;24674;3437
naturel.png;1600x1200;129684;28007
camera.png;256x256;10885;1248
piscine.png;3072x2304;1034825;162045
sat.png;1297x1381;249604;24891
lena.png;512x512;31643;4015
washsat.png;512x512;17186;248
frog.png;621x498;30237;1916
barb.png;512x512;40496;4901
bridge.png;256x256;14330;1771
peppers.png;512x512;34122;4473
