file;size;nnodes;time
bird.png;256x256;5082;877
boat.png;512x512;38628;5534
mountain.png;640x480;46405;2777
goldhill.png;512x512;43000;3696
house.png;256x256;9851;1106
mandrill.png;512x512;60239;7447
zelda.png;512x512;24674;3250
naturel.png;1600x1200;129684;22106
camera.png;256x256;10885;1097
piscine.png;3072x2304;1034825;162086
sat.png;1297x1381;249604;27020
lena.png;512x512;31643;3857
washsat.png;512x512;17186;242
frog.png;621x498;30237;1905
barb.png;512x512;40496;4940
bridge.png;256x256;14330;1589
peppers.png;512x512;34122;4515
