file;size;nnodes;time
bird.png;256x256;5082;2324
boat.png;512x512;38628;14813
mountain.png;640x480;46405;7297
goldhill.png;512x512;43000;8990
house.png;256x256;9851;3162
mandrill.png;512x512;60239;16197
zelda.png;512x512;24674;9603
naturel.png;1600x1200;129684;79308
camera.png;256x256;10885;2747
piscine.png;3072x2304;1034825;308101
sat.png;1297x1381;249604;55155
lena.png;512x512;31643;10513
washsat.png;512x512;17186;656
frog.png;621x498;30237;5121
barb.png;512x512;40496;10608
bridge.png;256x256;14330;2598
peppers.png;512x512;34122;10899
