file;size;nnodes;time
bird.png;256x256;5082;2349
boat.png;512x512;38628;14410
mountain.png;640x480;46405;7030
goldhill.png;512x512;43000;10893
house.png;256x256;9851;3166
mandrill.png;512x512;60239;17942
zelda.png;512x512;24674;9721
naturel.png;1600x1200;129684;82190
camera.png;256x256;10885;3109
piscine.png;3072x2304;1034825;309026
sat.png;1297x1381;249604;56128
lena.png;512x512;31643;10525
washsat.png;512x512;17186;655
frog.png;621x498;30237;5512
barb.png;512x512;40496;11017
bridge.png;256x256;14330;3495
peppers.png;512x512;34122;11204
