file;size;nnodes;time
bird.png;256x256;5082;2269
boat.png;512x512;38628;14466
mountain.png;640x480;46405;7153
goldhill.png;512x512;43000;10981
house.png;256x256;9851;3161
mandrill.png;512x512;60239;17957
zelda.png;512x512;24674;9718
naturel.png;1600x1200;129684;82290
camera.png;256x256;10885;3160
piscine.png;3072x2304;1034825;309635
sat.png;1297x1381;249604;56160
lena.png;512x512;31643;10127
washsat.png;512x512;17186;652
frog.png;621x498;30237;5505
barb.png;512x512;40496;11150
bridge.png;256x256;14330;3537
peppers.png;512x512;34122;11381
