file;size;nnodes;time
bird.png;256x256;5082;2231
boat.png;512x512;38628;14377
mountain.png;640x480;46405;7427
goldhill.png;512x512;43000;10871
house.png;256x256;9851;3150
mandrill.png;512x512;60239;17741
zelda.png;512x512;24674;9672
naturel.png;1600x1200;129684;81143
camera.png;256x256;10885;2910
piscine.png;3072x2304;1034825;309162
sat.png;1297x1381;249604;56619
lena.png;512x512;31643;10651
washsat.png;512x512;17186;654
frog.png;621x498;30237;5479
barb.png;512x512;40496;11303
bridge.png;256x256;14330;3592
peppers.png;512x512;34122;11302
