file;size;nnodes;time
bird.png;256x256;5082;307
boat.png;512x512;38628;1332
mountain.png;640x480;46405;1437
goldhill.png;512x512;43000;918
house.png;256x256;9851;222
mandrill.png;512x512;60239;930
zelda.png;512x512;24674;902
naturel.png;1600x1200;129684;6899
camera.png;256x256;10885;222
piscine.png;3072x2304;1034825;32025
sat.png;1297x1381;249604;6588
lena.png;512x512;31643;1190
washsat.png;512x512;17186;1215
frog.png;621x498;30237;1297
barb.png;512x512;40496;912
bridge.png;256x256;14330;234
peppers.png;512x512;34122;908
