file;size;nnodes;time
bird.png;256x256;5082;326
boat.png;512x512;38628;939
mountain.png;640x480;46405;1060
goldhill.png;512x512;43000;908
house.png;256x256;9851;220
mandrill.png;512x512;60239;924
zelda.png;512x512;24674;894
naturel.png;1600x1200;129684;6330
camera.png;256x256;10885;221
piscine.png;3072x2304;1034825;29678
sat.png;1297x1381;249604;6195
lena.png;512x512;31643;883
washsat.png;512x512;17186;820
frog.png;621x498;30237;994
barb.png;512x512;40496;908
bridge.png;256x256;14330;231
peppers.png;512x512;34122;898
