file;size;nnodes;time
bird.png;256x256;5082;312
boat.png;512x512;38628;919
mountain.png;640x480;46405;1258
goldhill.png;512x512;43000;919
house.png;256x256;9851;223
mandrill.png;512x512;60239;933
zelda.png;512x512;24674;906
naturel.png;1600x1200;129684;6238
camera.png;256x256;10885;224
piscine.png;3072x2304;1034825;26906
sat.png;1297x1381;249604;6275
lena.png;512x512;31643;998
washsat.png;512x512;17186;829
frog.png;621x498;30237;1015
barb.png;512x512;40496;923
bridge.png;256x256;14330;234
peppers.png;512x512;34122;911
