file;size;nnodes;time
bird.png;256x256;5082;324
boat.png;512x512;38628;917
mountain.png;640x480;46405;1376
goldhill.png;512x512;43000;948
house.png;256x256;9851;233
mandrill.png;512x512;60239;929
zelda.png;512x512;24674;905
naturel.png;1600x1200;129684;6189
camera.png;256x256;10885;223
piscine.png;3072x2304;1034825;29271
sat.png;1297x1381;249604;8062
lena.png;512x512;31643;905
washsat.png;512x512;17186;933
frog.png;621x498;30237;1321
barb.png;512x512;40496;900
bridge.png;256x256;14330;233
peppers.png;512x512;34122;909
