file;size;nnodes;time
bird.png;256x256;5082;122
boat.png;512x512;38628;89
mountain.png;640x480;46405;87
goldhill.png;512x512;43000;82
house.png;256x256;9851;19
mandrill.png;512x512;60239;77
zelda.png;512x512;24674;71
naturel.png;1600x1200;129684;663
camera.png;256x256;10885;20
piscine.png;3072x2304;1034825;4587
sat.png;1297x1381;249604;753
lena.png;512x512;31643;64
washsat.png;512x512;17186;63
frog.png;621x498;30237;80
barb.png;512x512;40496;81
bridge.png;256x256;14330;22
peppers.png;512x512;34122;78
