file;size;nnodes;time
bird.png;256x256;5082;72
boat.png;512x512;38628;94
mountain.png;640x480;46405;81
goldhill.png;512x512;43000;80
house.png;256x256;9851;20
mandrill.png;512x512;60239;83
zelda.png;512x512;24674;70
naturel.png;1600x1200;129684;631
camera.png;256x256;10885;19
piscine.png;3072x2304;1034825;3994
sat.png;1297x1381;249604;739
lena.png;512x512;31643;63
washsat.png;512x512;17186;61
frog.png;621x498;30237;77
barb.png;512x512;40496;81
bridge.png;256x256;14330;24
peppers.png;512x512;34122;70
