file;size;nnodes;time
bird.png;256x256;5082;87
boat.png;512x512;38628;94
mountain.png;640x480;46405;74
goldhill.png;512x512;43000;82
house.png;256x256;9851;24
mandrill.png;512x512;60239;83
zelda.png;512x512;24674;68
naturel.png;1600x1200;129684;455
camera.png;256x256;10885;19
piscine.png;3072x2304;1034825;3799
sat.png;1297x1381;249604;760
lena.png;512x512;31643;64
washsat.png;512x512;17186;58
frog.png;621x498;30237;76
barb.png;512x512;40496;77
bridge.png;256x256;14330;25
peppers.png;512x512;34122;76
