file;size;nnodes;time
bird.png;256x256;5082;88
boat.png;512x512;38628;82
mountain.png;640x480;46405;90
goldhill.png;512x512;43000;83
house.png;256x256;9851;19
mandrill.png;512x512;60239;77
zelda.png;512x512;24674;69
naturel.png;1600x1200;129684;481
camera.png;256x256;10885;19
piscine.png;3072x2304;1034825;4231
sat.png;1297x1381;249604;1004
lena.png;512x512;31643;74
washsat.png;512x512;17186;61
frog.png;621x498;30237;73
barb.png;512x512;40496;79
bridge.png;256x256;14330;26
peppers.png;512x512;34122;74
